Company Name,Category,Sub-Category,Hall,LinkedIn URL
ParadigmIT Technology Services Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/paradigmit-technology-services/
Gautam Solar Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/gautam-solar/
Hackerearth Technologies Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/hackerearth-technologies/
Avesta Labs LLP,Corporate,Domestic,15,https://www.linkedin.com/company/avesta-labs-llp/
Skorydov Robotics,Startup,,15,https://www.linkedin.com/company/skorydov-robotics/
United Tyrekrafts Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/united-tyrekrafts/
Salesforce,Corporate,Domestic,15,https://www.linkedin.com/company/salesforce/
Cloudflare India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/cloudflare-india/
Technology Services Industry Association,Corporate,Domestic,15,https://www.linkedin.com/company/technology-services-industry-association/
NeevCloud,Corporate,Domestic,15,https://www.linkedin.com/company/neevcloud/
NTT DATA,Corporate,International,15,https://www.linkedin.com/company/ntt-data/
Relu AI Systems Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/relu-ai-systems/
Smallest AI Awaaz Labs Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/smallest-ai-awaaz-labs/
Wipro Limited,Corporate,Domestic,15,https://www.linkedin.com/company/wipro-limited/
Aarna Tech Consultants Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/aarna-tech-consultants/
Airawat Research Foundation,Corporate,Domestic,15,https://www.linkedin.com/company/airawat-research-foundation/
PreDusk Technology Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/predusk-technology/
Amnet Digital Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/amnet-digital/
Digital Health Associates Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/digital-health-associates/
Antier Solutions Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/antier-solutions/
Dell technologies,Corporate,International,15,https://www.linkedin.com/company/dell/
Ministry of Panchayati Raj,Government,,15,https://www.linkedin.com/company/ministry-of-panchayati-raj/
Ariams Consulting Inc,Corporate,International,15,https://www.linkedin.com/company/ariams-consulting/
Avirasoft Digital Technologies Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/avirasoft-digital-technologies/
SquadStack.ai,Corporate,Domestic,15,https://www.linkedin.com/company/squadstackai/
SmoothAi Pvt Ltd,Corporate,International,15,https://www.linkedin.com/company/smoothai/
Kgraph AI Solutions Pvt Ltd,Corporate,International,15,https://www.linkedin.com/company/kgraph-ai-solutions/
Institute of Chartered Accountant of India,Academia,,15,https://www.linkedin.com/company/institute-of-chartered-accountant-of/
AI Ventures,Corporate,Domestic,15,https://www.linkedin.com/company/ai-ventures/
Fairvaluation Unlock Future Fintech Pvt ltd,Corporate,Domestic,15,https://www.linkedin.com/company/fairvaluation-unlock-future-fintech/
Scikiq Data Pvt Ltd,Startup,,15,https://www.linkedin.com/company/scikiq-data/
Posidex technologies,Corporate,Domestic,15,https://www.linkedin.com/company/posidex/
Civic Data Labs,Corporate,Domestic,15,https://www.linkedin.com/company/civic-data-labs/
CommScope Inc,Corporate,International,15,https://www.linkedin.com/company/commscope/
Intensity Global Technologies Limited,Corporate,Domestic,15,https://www.linkedin.com/company/intensity-global-technologies-limited/
ESDS Software Solution Limited,Corporate,Domestic,15,https://www.linkedin.com/company/esds-software-solution-limited/
Hughes Systique Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/hughes-systique/
Extramarks Education India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/extramarks-education-india/
HP India Sales Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/hp-india-sales/
Acxiom Technologies,Corporate,Domestic,15,https://www.linkedin.com/company/acxiom/
ARTPARK,Academia,,15,https://www.linkedin.com/company/artpark/
Australian Consulate - General,Country Pavilion,,15,https://www.linkedin.com/company/australian-consulate--general/
AWS Amazon,Corporate,International,15,https://www.linkedin.com/company/awsamazon/
Axis Bank Limited,Corporate,Domestic,15,https://www.linkedin.com/company/axis-bank-limited/
Biz-Tech Analytics,Startup,,15,https://www.linkedin.com/company/biztech-analytics/
British High Commission India,Country Pavilion,,15,https://www.linkedin.com/company/british-high-commission/
